index,eval_experiment_uuid,run_uuid,si,i,ni,ri,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,iteration_type,iteration_params,matrix_type,target_threshold,validation_precision,validation_gender_rel_tpr_parity,alpha,alpha_shift,eta_exp_budget,tuner,test_precision,test_gender_rel_tpr_parity,is_selected,validation_is_pareto_optimal,test_is_pareto_optimal,Model Type
1,a444331d20d5e02d8f766873d7616474,23835fba22f242137fc9b6f1bc45d1c0,4,0,81,1.235,0.7748,5ccf86d195f75e17bf9607a66a6348be,a0bd440f08d0c8e68d0ff89f50883367,lightgbm.LGBMClassifier,"{'n_jobs': 8, 'max_depth': 65, 'num_leaves': 74, 'n_estimators': 608, 'random_state': 249817734, 'boosting_type': 'dart', 'learning_rate': 0.2669969397028515, 'min_child_samples': 44}",,Hyperband,"{'alpha': 'dynamic', 'alpha_shift': 0.0}",validation,tpr = 50,0.9652,0.670962708295708,dynamic,0.0,0.0123,FB,0.9705,0.657431872197816,False,False,False,LGBM
2,a444331d20d5e02d8f766873d7616474,23835fba22f242137fc9b6f1bc45d1c0,4,0,81,1.235,0.78,4a287392daf1fac8fa4b02b6549ad848,00b34d089fbdb0b65cf4ead2279e48bc,lightgbm.LGBMClassifier,"{'n_jobs': 8, 'max_depth': 3, 'num_leaves': 60, 'n_estimators': 830, 'random_state': 690256940, 'boosting_type': 'goss', 'learning_rate': 0.11450278770891113, 'min_child_samples': 45}",,Hyperband,"{'alpha': 'dynamic', 'alpha_shift': 0.0}",validation,tpr = 50,0.9589,0.679222645522589,dynamic,0.0,0.0123,FB,0.961,0.669109733722634,False,False,False,LGBM
3,a444331d20d5e02d8f766873d7616474,23835fba22f242137fc9b6f1bc45d1c0,4,0,81,1.235,0.7846,baf77b0a1d4dd2313f82fe1b5e499c41,6e5d8013b9637407e8c63e35bdd855bd,sklearn.tree.DecisionTreeClassifier,"{'n_jobs': -1, 'splitter': 'best', 'criterion': 'entropy', 'max_depth': 3, 'random_state': 695822698, 'min_samples_leaf': 1, 'min_samples_split': 14}",,Hyperband,"{'alpha': 'dynamic', 'alpha_shift': 0.0}",validation,tpr = 50,0.9342,0.693066263198212,dynamic,0.0,0.0123,FB,0.8281,0.168697053718491,False,False,False,DT
4,a444331d20d5e02d8f766873d7616474,23835fba22f242137fc9b6f1bc45d1c0,4,0,81,1.235,0.7096,d9f701a484fc94d143b0b0bf3a602ffc,8cd05203f1ac12823be642beef9f9670,custom.torch.implementation.FeedForwardClassifier,"{'n_jobs': -1, 'batch_size': 2048, 'max_epochs': 75, 'random_state': 882197257, 'optimizer__lr': 0.0008310298045618495, 'model__dropout': 0.10050418648573706, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [500, 500], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0}",,Hyperband,"{'alpha': 'dynamic', 'alpha_shift': 0.0}",validation,tpr = 50,0.8185,0.634521542935956,dynamic,0.0,0.0123,FB,0.8219,0.64019703373825,False,False,False,NN
5,a444331d20d5e02d8f766873d7616474,23835fba22f242137fc9b6f1bc45d1c0,4,0,81,1.235,0.8732,7c2254954ead22ba2576c66294629d55,b23983b67aa720effdea7e3b8ecf2aa8,custom.dtbased.FairLearnClassifier,"{'T': 50, 'eps': 0.07405106688093709, 'n_jobs': -1, 'estimator': 'sklearn.tree.DecisionTreeClassifier', 'constraints': 'fairlearn.reductions.TruePositiveRateDifference', 'unawareness': False, 'random_state': 269953851, 'model__splitter': 'best', 'model__criterion': 'gini', 'model__max_depth': 12, 'protected_column': 'sex', 'model__min_samples_leaf': 13, 'model__min_samples_split': 18}",,Hyperband,"{'alpha': 'dynamic', 'alpha_shift': 0.0}",validation,tpr = 50,0.8446,0.905575777722954,dynamic,0.0,0.0123,FB,0.8418,0.907296050820398,False,False,False,EG
6,a444331d20d5e02d8f766873d7616474,23835fba22f242137fc9b6f1bc45d1c0,4,0,81,1.235,0.769,cf9c06be708a86c4d7b1f509dec3d9a3,bbb72c1178148af91066cd13b969c8d6,sklearn.linear_model.LogisticRegression,"{'C': 1e-05, 'tol': 0.002620207321627606, 'n_jobs': 1, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 2143, 'random_state': 207371533}",,Hyperband,"{'alpha': 'dynamic', 'alpha_shift': 0.0}",validation,tpr = 50,0.7207,0.829093284299563,dynamic,0.0,0.0123,FB,0.7188,0.818325755836251,False,False,False,LR
7,a444331d20d5e02d8f766873d7616474,23835fba22f242137fc9b6f1bc45d1c0,4,0,81,1.235,0.8572,31798028b1a0f62254ca22d391202dc9,77cd03fba83005bd5f29e17b19828355,custom.torch.implementation.FeedForwardClassifier,"{'n_jobs': -1, 'batch_size': 2048, 'max_epochs': 75, 'random_state': 812870399, 'optimizer__lr': 0.00061883571073259, 'model__dropout': 0.012158803141498309, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [100, 50], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.01}",,Hyperband,"{'alpha': 'dynamic', 'alpha_shift': 0.0}",validation,tpr = 50,0.789,0.95184964440218,dynamic,0.0,0.0123,FB,0.7868,0.951411658469891,False,False,False,NN
8,a444331d20d5e02d8f766873d7616474,23835fba22f242137fc9b6f1bc45d1c0,4,0,81,1.235,0.8066,065f264df88ad1d8a19ec5959d64bd9c,6568d47833f67a9539c528df29920c77,custom.torch.implementation.FeedForwardClassifier,"{'n_jobs': -1, 'batch_size': 2048, 'max_epochs': 25, 'random_state': 108430269, 'optimizer__lr': 0.0025170359322431134, 'model__dropout': 0.01610433490679788, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [100, 100], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.01}",,Hyperband,"{'alpha': 'dynamic', 'alpha_shift': 0.0}",validation,tpr = 50,0.7087,0.975828951549255,dynamic,0.0,0.0123,FB,0.7103,0.975491981561398,False,False,False,NN
9,a444331d20d5e02d8f766873d7616474,23835fba22f242137fc9b6f1bc45d1c0,4,0,81,1.235,0.8678,dc775b6dcd36820d991a9101ad3f8ce5,8c3e8673756f4c66f866be7a42c43ad9,custom.torch.implementation.FeedForwardClassifier,"{'n_jobs': -1, 'batch_size': 2048, 'max_epochs': 50, 'random_state': 7983040, 'optimizer__lr': 0.0007341873357036819, 'model__dropout': 0.11633877503915771, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [200, 200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,Hyperband,"{'alpha': 'dynamic', 'alpha_shift': 0.0}",validation,tpr = 50,0.9504,0.805970720912418,dynamic,0.0,0.0123,FB,0.9456,0.792396576575499,False,False,False,NN
10,a444331d20d5e02d8f766873d7616474,23835fba22f242137fc9b6f1bc45d1c0,4,0,81,1.235,0.866,51dfade0efe1abf68db0ad532a33d3e6,acb72686338feacf080c4b3f415e2dca,custom.torch.implementation.FeedForwardClassifier,"{'n_jobs': -1, 'batch_size': 2048, 'max_epochs': 25, 'random_state': 8108022, 'optimizer__lr': 0.003500080403378175, 'model__dropout': 0.07631403099038475, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [20], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,"{'alpha': 'dynamic', 'alpha_shift': 0.0}",validation,tpr = 50,0.9479,0.804647601762902,dynamic,0.0,0.0123,FB,0.9455,0.788891715998342,False,False,False,NN
